ลำดับ,รหัสสถานบริการ,,ชื่อสถานบริการ,,ตำบล/แขวงที่ตั้ง,อำเภอ/เขตที่ตั้ง,,จังหวัดที่ตั้ง,สปสช.เขตที่ตั้ง,,สถานะการขึ้นทะเบียน,,,สังกัดหลัก,สังกัดย่อย
431,CA0053424,,จิราวรรณคลินิกการพยาบาลและการผดุงครรภ์,,เขาโจด,ศรีสวัสดิ์,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
432,CA0053425,,สหคลินิกหมอปิง,,ปากแพรก,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
433,CA0053665,,ขวัญใจคลินิกการพยาบาลและการผดุงครรภ์,,หวายเหนียว,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
434,CA0053712,,ราชพฤกษ์กาญจนคลินิกเวชกรรม,,พนมทวน,พนมทวน,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
435,CA0053713,,ท่าสนุ่นคลินิกการพยาบาลและการผดุงครรภ์,,ด่านแม่แฉลบ,ศรีสวัสดิ์,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
436,CA0053783,,รักษ์กันคลินิกการพยาบาลและการผดุงครรภ์,,ท่าม่วง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
437,CA0054413,,นั้ยแคร์ คลินิกการพยาบาลและการผดุงครรภ์,,หนองบัว,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
438,CA0054570,,บ่อพลอยอุ่นใจการพยาบาลและการผดุงครรภ์,,บ่อพลอย,บ่อพลอย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
439,CA0054672,,เหมา เดอะ หมอ คลินิกการแพทย์แผนไทย,,ปากแพรก,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
440,CA0054829,,คลินิกทันตกรรมสไมล์อัพ,,ตะคร้ำเอน,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
441,CA0054834,,คลินิกทันตกรรมแต้มยิ้ม,,ท่าม่วง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
442,CA0054836,,คลินิกทันตกรรมแต้มยิ้ม อ.เมือง กาญจนบุรี,,ท่ามะขาม,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
443,CA0054837,,คลินิกทันตกรรมฟอฟัน,,ปากแพรก,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
444,CA0054927,,คลินิกทันตกรรมบ้านรักฟัน,,ท่ามะกา,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
445,CA0054955,,คลินิกทนตกรรมสไมล์อัพ 3,,ปากแพรก,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
446,CA0054957,,คลินิกทันตกรรมสไมล์อัพ 2,,ท่ามะกา,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
447,CA0055094,,คลินิกทันตกรรมของขวัญ,,ท่าม่วง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
448,CA0055131,,รักสุขคลินิกการพยาบาลและการผดุงครรภ์,,รางสาลี่,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
449,CA0055391,,คลินิกการแพทย์แผนไทยบ้านไตรรักษ์,,หนองกุ่ม,บ่อพลอย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
450,CA0055452,,คลินิกทันตกรรมรักยิ้ม,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
451,CA0055913,,จริงใจคลินิกการแพทย์แผนไทย,,พระแท่น,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
452,CA0000267,,พร้อมสุขคลินิกการพยาบาลและการผดุงครรภ์,,ท่ามะกา,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
453,CA0000479,,แคร์ยูคลินิกการพยาบาลและการผดุงครรภ์ สาขา2,,ท่าเสา,ไทรโยค,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
454,CA0002074,,คลินิกทันตกรรมเอนเทอร์,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
455,CA0002252,,อาภาคลินิกการพยาบาลและการผดุงครรภ์,,หนองหญ้า,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
456,CA0002377,,คลินิกทันตกรรมลัคกี้,,บ่อพลอย,บ่อพลอย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
457,CA0002471,,เวสเทิร์นคลินิกการพยาบาลและการผดุงครรภ์,,สระลงเรือ,ห้วยกระเจา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
458,CA0002689,,ศรีสาโรชคลินิกการพยาบาลและผดุงครรภ์,,ห้วยกระเจา,ห้วยกระเจา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
459,CA0002725,,ดีโอ้เดนทัลคลินิกทันตกรรม สาขากาญจนบุรี,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
460,CA0002729,,คลินิกเฉพาะทางด้านเวชกรรมสูตินรีเวช นายแพทย์อภิรักษ์,,พระแท่น,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
461,CA0002883,,หัวนาคลินิกเวชกรรม,,ปากแพรก,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
