ลำดับ,รหัสสถานบริการ,,ชื่อสถานบริการ,,ตำบล/แขวงที่ตั้ง,อำเภอ/เขตที่ตั้ง,,จังหวัดที่ตั้ง,สปสช.เขตที่ตั้ง,,สถานะการขึ้นทะเบียน,,,สังกัดหลัก,สังกัดย่อย
87,CA0038075,,ตลาดเขตคลินิกการพยาบาลและการผดุงครรภ์,,รางหวาย,พนมทวน,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
88,CA0038078,,คลินิกสุนทรการพยาบาลและการผดุงครรภ์,,แก่งเสี้ยน,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
89,CA0038098,,คลินิกสุขภาพฟัน,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
90,CA0038099,,คลินิกทันตแพทย์ชาญชัย,,ท่ามะขาม,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
91,CA0038114,,สุทธิพรคลินิกการแพทย์แผนไทย,,ปากแพรก,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
92,CA0038116,,คลินิกหมอชัช,,กลอนโด,ด่านมะขามเตี้ย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
93,CA0038119,,เจดับบลิว คลินิก,,ท่าม่วง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
94,CA0038126,,รวมแพทย์คลินิก,,ท่าม่วง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
95,CA0038061,,"คลินิกการพยาบาลและการผดุงครรภ์ ""บ้านคุณเที่ยง",,หนองขาว,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
96,CA0038086,,คลินิกนงลักษณ์การพยาบาลและการผดุงครรภ์,,ท่ากระดาน,ศรีสวัสดิ์,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
